Email_ID,Email_Type,Subject_Hotness_Score,Email_Source_Type,Customer_Location,Email_Campaign_Type,Total_Past_Communications,Time_Email_sent_Category,Word_Count,Total_Links,Total_Images,Email_Status
EMA00081000034500,1,2.2,2,E,2,33,1,440,8,0,0
EMA00081000045360,2,2.1,1,,2,15,2,504,5,0,0
EMA00081000066290,2,0.1,1,B,3,36,2,962,5,0,1
EMA00081000076560,1,3,2,E,2,25,2,610,16,0,0
EMA00081000109720,1,0,2,C,3,18,2,947,4,0,0
EMA00081000131660,1,1.5,1,G,2,,2,416,11,0,0
EMA00081000160500,1,3.2,1,E,2,34,3,116,4,0,0
EMA00081000269630,1,0.7,2,G,2,21,2,1241,6,2,0
EMA00081000287790,1,2,1,G,2,,3,655,11,4,0
EMA00081000367310,2,0.5,1,G,2,40,3,655,11,0,0
EMA00081000428660,2,0.2,1,G,3,27,3,744,6,0,0
EMA00081000583620,1,1,1,D,2,24,2,931,21,16,0
EMA00081000591290,2,0.1,1,C,3,42,2,550,6,0,0
EMA00081001535890,1,0.3,1,F,3,35,2,1082,16,4,0
EMA00081001736520,1,0.2,2,G,3,51,1,733,6,5,1
EMA00081002124310,1,0.1,2,G,3,39,3,855,21,4,0
EMA00081002264510,1,2.8,1,,2,,1,339,11,10,1
EMA00081002406910,1,0.8,2,D,2,31,2,389,6,3,1
EMA00081002494510,2,0,2,E,3,50,2,389,4,0,1
EMA00081002862960,1,4.2,2,,2,15,1,254,4,0,1
EMA00081003023700,1,2.1,2,D,2,31,2,339,6,2,1
EMA00081003119020,1,0,2,C,3,45,2,490,9,,1
EMA00081003405650,2,0,1,E,3,53,2,353,6,2,0
EMA00081004020940,2,0.9,1,,2,40,2,550,6,3,1
EMA00081004047050,2,0.2,2,G,3,22,2,1061,6,0,0
EMA00081004253350,1,0.2,1,D,3,37,3,684,26,24,0
EMA00081004255070,2,0,2,B,3,34,2,1140,8,0,0
EMA00081004359690,1,3.3,2,G,2,18,2,578,14,4,1
EMA00081004739620,1,0.3,1,G,3,11,1,922,4,2,0
EMA00081005754040,2,0.3,2,E,3,41,2,1014,11,4,1
EMA00081006001860,2,1.6,1,G,2,45,2,565,9,6,1
EMA00081006154590,1,0.2,1,,3,50,2,314,11,6,1
EMA00081006256590,1,0.3,1,,3,56,1,220,11,4,1
EMA00081006613420,1,1.9,2,G,2,29,2,655,6,0,1
EMA00081006823600,2,0.2,1,G,3,28,2,763,11,0,0
EMA00081007015970,2,1.5,1,,2,30,3,988,8,0,1
EMA00081007343190,1,1.9,2,,2,24,2,741,8,0,1
EMA00081007406120,2,2.3,1,D,2,,2,518,6,0,1
EMA00081007543840,2,0.1,2,,3,56,2,40,6,0,1
EMA00081008120900,1,0.3,1,C,3,43,2,760,13,0,0
EMA00081008258350,2,0,1,,3,33,2,623,2,0,0
EMA00081008310930,2,0.1,2,E,3,29,1,744,2,0,0
EMA00081008458330,2,0.1,2,E,3,20,2,1014,6,,0
EMA00081008865100,2,0.3,2,F,3,42,2,339,11,3,1
EMA00081008868820,1,1.5,2,,2,,2,962,21,20,1
EMA00081009281240,1,0.1,1,D,3,,2,424,6,0,0
EMA00081009310960,2,0.2,2,G,3,,1,550,6,0,1
EMA00081009405190,1,0.2,1,G,3,44,1,904,28,21,1
EMA00081009511290,1,0.2,2,C,3,40,2,623,,14,0
EMA00081009519870,2,0.2,2,E,3,,2,630,16,12,0
EMA00081009608980,1,0,1,E,3,40,2,655,13,2,0
EMA00081009673410,2,2.7,1,G,2,10,2,550,4,0,1
EMA00081010575180,2,0.1,2,,3,23,2,939,11,1,0
EMA00081010622220,1,1,1,D,2,30,2,904,11,1,1
EMA00081010942490,2,0.3,2,G,3,,2,462,11,4,0
EMA00081011083600,1,0.3,2,D,3,,1,608,31,18,0
EMA00081011237290,1,0.9,1,E,2,46,2,458,6,0,1
EMA00081011285290,2,0,2,,3,28,2,636,8,0,1
EMA00081011318330,2,1.3,1,A,2,37,2,806,6,0,1
EMA00081011451780,1,1.2,1,G,2,30,3,352,8,0,1
EMA00081011592270,1,0.3,1,E,3,43,2,610,6,3,0
EMA00081012060570,1,0.3,1,,3,10,2,1303,14,2,0
EMA00081012794760,1,0.3,1,G,3,45,3,560,5,0,1
EMA00081012885500,1,0.2,1,C,3,41,2,694,9,6,0
EMA00081013381100,1,0.3,2,C,3,49,3,610,8,0,1
EMA00081013510610,1,1.4,1,,2,39,2,610,9,0,1
EMA00081013551490,2,0.2,2,G,3,,3,311,4,3,1
EMA00081014117770,2,0.2,1,B,3,51,3,610,16,0,0
EMA00081014254350,1,0.3,1,G,3,32,1,1229,11,0,1
EMA00081014392800,1,0.8,1,G,2,43,1,741,21,7,1
EMA00081014757790,2,0.1,2,G,3,48,2,339,9,0,0
EMA00081014912890,1,0.1,1,A,3,45,2,608,8,0,1
EMA00081015124100,2,0.1,1,E,3,43,3,608,9,0,0
